mrun;cod_nivel;rbd_admitido;cod_curso_admitido
433845;9;10711;131000000133
434892;9;10607;131000000131
434938;10;1749;231000000133
435050;8;9385;811000000132
436687;6;1602;611000000131
436752;3;2330;311000000133
436836;3;293;311000000133
436980;11;19913;371071001133
437387;9;8589;131000000133
438269;12;14510;431000000133
438463;4;7673;411000000133
438941;8;26381;811000000133
440785;7;8485;711000000132
440911;10;9834;231000000133
441386;12;12573;431000000131
442599;9;14720;131000000133
442975;9;131;131000000131
443404;11;5215;351052013133
443824;8;9213;811000000133
444056;4;6588;411000000133
444442;9;1675;131000000133
444496;1;10750;111000000131
444829;2;26033;211000000131
445608;1;7634;111000000133
445899;9;578;131000000133
446073;1;6691;111000000133
446279;8;17860;811000000131
446854;4;11394;411000000133
447384;12;7626;441041005133
448044;2;12547;211000000133
448503;12;12151;431000000133
448571;9;6085;131000000133
448870;1;1397;111000000123
449237;6;25693;611000000133
449652;5;1599;511000000131
449867;5;9663;511000000131
450800;7;13608;711000000133
451967;6;11792;611000000131
452164;1;25230;111000000131
452210;1;10099;111000000133
453004;6;22408;611000000133
453530;9; ; 
454419;7;5106;711000000133
454668;9;9754;131000000133
454736;4;22325;411000000133
454797;9;22140;151053014133
455492;12;10845;431000000133
455838;6;9150;611000000133
456629;6;24878;611000000133
456942;2;25005;211000000133
457984;9;9660;131000000133
458293;9;15759;131000000133
459067;8;1757;811000000133
459152;8;8501;811000000133
459874;6;4140;611000000333
460044;5;10105;511000000133
460178;7;10848;711000000133
460854;11;2012;361061001133
460897;9; ; 
461298;9;9583;131000000133
461395;9;3165;131000000133
461476;4;25797;411000000132
461658;6;1599;611000000131
462254;8;9534;811000000133
462622;2;25369;211000000132
463231;2;8685;211000000131
463654;9;4977;131000000133
463734;6;1961;611000000133
464949;9; ; 
465757;9;26372;131000000133
465795;9;967;131000000133
465868;10;1757;231000000133
466171;9;284;131000000133
467461;4;9852;411000000133
467880;6;9341;611000000131
468383;1;9922;111000000131
468807;2;294;211000000133
468878;9;3461;131000000133
469252;9;20053;131000000133
469415;7;14373;711000000133
469434;9; ; 
470230;1;24800;111000000133
470433;3;4574;311000000113
470622;2;16945;211000000133
471932;3;22322;311000000133
471994;4;4868;411000000133
472161;5;10716;511000000131
472209;7;10646;711000000133
475519;8;2300;811000000233
475864;8;22246;811000000133
475934;10;5666;231000000132
476178;9;516;131000000133
476263;9;8501;131000000133
476289;7;5016;711000000133
478232;8;5861;811000000133
479050;9;14616;131000000333
479441;9;16886;131000000133
479919;7;26137;711000000133
480037;1;335;111000000133
480287;2;1459;211000000133
480583;10;15787;231000000133
480584;11;13475;341041005133
480820;5;3639;511000000133
481029;10;25352;231000000133
481348;12;10699;431000000233
481460;8;2162;811000000131
481928;9;10470;131000000133
482594;9;16886;131000000133
482639;9;26292;131000000133
482738;9;1757;131000000133
483322;6;10827;611000000133
